weights Rp/RJ vrot/km/s 
2.711154983639957e-94 1.6392499258665554 3.654987941622108
2.7646440708626064e-94 1.5516327750224082 3.6986191112112032
3.0644312637746667e-94 1.5631502608883054 3.6117550848990647
3.4011418033634805e-94 1.7268660459568324 3.74577201694516
4.861203572363165e-94 1.5238621419257203 3.4961121961538058
5.295493749391309e-94 1.6972084788995137 3.781333041843833
5.665108380284649e-94 1.6027412740681797 3.6650248562844783
6.160280331511906e-94 1.527162228516696 3.3930815420437765
6.14542828110828e-94 1.643606358704727 3.716615051397677
6.772055026031603e-94 1.5030622531680402 3.718007902010413
1.0509667382803264e-93 1.6539165845172255 3.635878351471502
1.1595392846727975e-93 1.5785538772327135 3.8451563403459463
1.2284227261965577e-93 1.52609237509063 3.5518915952141046
1.263968561362869e-93 1.7047936852004621 3.66686249089018
1.3155974293426062e-93 1.5831190403214932 3.753411931882096
1.6326316102154118e-93 1.6328191087263009 3.5188821924605738
1.6834814019386848e-93 1.6633545690261866 3.84730130481616
1.7792293886073555e-93 1.5916591870357624 3.885717040868158
1.8828128827825632e-93 1.5618161077810855 3.5176609195642192
2.0877064242893687e-93 1.5840017203446566 3.6203754548242673
2.148014847978211e-93 1.6145491217243033 3.740423197853622
4.015678173676806e-93 1.728600263932822 3.612478638815369
4.07578752088536e-93 1.5285908454379988 3.5137466505691797
4.41153358588057e-93 1.5363187308721231 3.827666702712781
4.486974153172129e-93 1.6080008960198802 3.6804363861693314
6.248806699626133e-93 1.5216164292065706 3.808379440498653
6.882413052288636e-93 1.5956607624961094 3.754819912669391
7.354117126466157e-93 1.5815314455234715 3.6987757183758667
1.063569541639529e-92 1.6797247892479716 3.7616813413376
1.1358985928976713e-92 1.5866895717886111 3.932209349405248
1.2839322721538875e-92 1.5883800476882595 3.866493476778517
1.364412862075496e-92 1.6350454170001045 3.8264667583127854
1.4613013255317489e-92 1.6425825632182662 3.6661302338325243
1.730532508511009e-92 1.6881216393994678 3.698046162101586
1.783012142992488e-92 1.6332352216895893 3.5731493536621306
2.0218103875438443e-92 1.7049027829720815 3.679854829222854
2.3118326893173567e-92 1.7912016440319074 3.7891493394085725
2.806404810802741e-92 1.6890461755378783 3.7265584906343414
2.938535101540871e-92 1.660738107912013 3.674122326155744
3.6723925647138124e-92 1.7023878551549356 3.7749145958434216
